Plot,Block,Row,Range,Weight,Height,Maturity,Yield,TuberSet
1,1,1,1,4.25,21,4,445.8839478,9.733333333
2,1,2,1,5.33,14.5,5,475.9908522,9.133333333
3,1,3,1,3.76,37.5,5,468.1626783,12.2
4,1,4,1,3.99,12.5,4,341.1316174,8.733333333
5,1,5,1,6.79,25.5,3,532.006487,8.2
6,1,6,1,3.985,19.5,4,404.5939379,9.714285714
7,1,7,1,4.7,14,5,533.6920696,10.46666667
8,1,8,1,5.42,17.5,5,432.3298435,8.333333333
9,1,9,1,2.885,43.5,6,652.0616348,21
10,1,10,1,5.86,27.5,7,379.1298261,6.4
11,1,11,1,3.06,21.5,4,497.8402957,15.53333333
12,1,12,1,4.315,60,5,568.2496696,12.73333333
13,1,13,1,2.55,19,6,392.772313,14.4
14,1,14,1,6.05,16,3,449.4823826,7.733333333
15,1,14,2,5.05,69,4,576.6649565,11.4
16,1,13,2,2.67,16,3,279.4847478,9.6
17,1,12,2,2.945,30,5,381.3898957,11.8
18,1,11,2,5.08,28,3,615.2629043,13.33333333
19,1,10,2,4.83,12.5,5,306.8612609,5.428571429
20,1,9,2,5.49,31,5,359.7706355,6.615384615
21,1,8,2,5.27,18.5,2,431.6543478,8.266666667
22,1,7,2,4.64,19,3,515.9966087,11.07142857
23,1,6,2,3.94,24,3,398.2457217,9.6
24,1,5,2,5.16,55,3,601.3173913,12.2
25,1,4,2,2.775,21.5,4,323.6832671,10.78571429
26,1,3,2,4.98,17.5,4,456.4204174,9.133333333
27,1,2,2,3.81,40.5,5,608.817287,15.93333333
28,1,1,2,2.58,41.5,5,411.1432696,14.8
29,1,1,3,3.39,25,5,398.7444522,12
30,1,2,3,3.265,28.5,5,325.8666783,8.266666667
31,1,3,3,2.66,20.5,4,495.8011826,17.86666667
32,1,4,3,4.05,34,2,435.9850957,10.8
33,1,5,3,4.265,28,6,443.9710957,9.866666667
34,1,6,3,3.69,28.5,4,434.2363826,11.66666667
35,1,7,3,3.31,22.5,6,438.352487,12.73333333
36,1,8,3,2.83,21,4,316.1698435,10.53333333
37,1,9,3,4.25,19.5,5,710.8802609,16.5
38,1,10,3,2.635,25.5,4,397.2482609,13.35714286
39,1,11,3,4.77,24,5,487.8467478,10.26666667
40,1,12,3,3.97,21.5,4,499.0145217,12.06666667
41,1,13,3,4.53,18.5,4,552.7637739,11.06666667
42,1,14,3,3.83,16.5,4,532.3425351,13.15384615
43,1,14,4,2.135,10.5,4,288.4366435,12.73333333
44,1,13,4,3.87,32.5,5,562.9404,13.93333333
45,1,12,4,2.9,24,6,360.4432174,11.93333333
46,1,11,4,3.78,29,4,549.6198783,14.86666667
47,1,10,4,6.58,26.5,5,560.4214957,8.933333333
48,1,9,4,4.56,26,4,484.8101739,10.66666667
49,1,8,4,4.06,18.5,3,556.4442783,13.86666667
50,1,7,4,2.86,15,4,481.6473391,16
51,1,6,4,3.31,19.5,5,533.8795184,15.23076923
52,1,5,4,7.945,39.5,3,647.2889739,8.733333333
53,1,4,4,2.86,27,6,318.6382435,10.53333333
54,1,3,4,4.37,19,5,470.9485342,11.07142857
55,1,2,4,4.4,34,5,638.3370783,13.73333333
56,1,1,4,1.87,16.5,3,274.6805217,13.6
57,1,1,5,5.8,36.5,5,579.6929627,9.928571429
58,2,2,5,3.465,26.5,5,655.0540174,18.6
59,2,3,5,4.43,24.5,5,642.2987559,13.76923077
